Tranche OptimalSecuritisation
Securitisation Rate: ,0.0, Capital Accumulation: ,-2.701740194345305
Securitisation Rate: ,0.01, Capital Accumulation: ,-2.6224103713386153
Securitisation Rate: ,0.02, Capital Accumulation: ,-2.5448639299441105
Securitisation Rate: ,0.03, Capital Accumulation: ,-2.469120393474447
Securitisation Rate: ,0.04, Capital Accumulation: ,-2.3951989276543832
Securitisation Rate: ,0.05, Capital Accumulation: ,-2.3231183359692995
Securitisation Rate: ,0.06, Capital Accumulation: ,-2.2528970550853726
Securitisation Rate: ,0.07, Capital Accumulation: ,-2.184553150340773
Securitisation Rate: ,0.08, Capital Accumulation: ,-2.1181043113106623
Securitisation Rate: ,0.09, Capital Accumulation: ,-2.0535678474455468
Securitisation Rate: ,0.1, Capital Accumulation: ,-1.99096068378429
Securitisation Rate: ,0.11, Capital Accumulation: ,-1.9302993567434221
Securitisation Rate: ,0.12, Capital Accumulation: ,-1.8716000099826076
Securitisation Rate: ,0.13, Capital Accumulation: ,-1.814878390348193
Securitisation Rate: ,0.14, Capital Accumulation: ,-1.7601498438947196
Securitisation Rate: ,0.15, Capital Accumulation: ,-1.7074293119859973
Securitisation Rate: ,0.16, Capital Accumulation: ,-1.6567313274767077
Securitisation Rate: ,0.17, Capital Accumulation: ,-1.6080700109747115
Securitisation Rate: ,0.18, Capital Accumulation: ,-1.561459067185555
Securitisation Rate: ,0.19, Capital Accumulation: ,-1.5169117813398154
Securitisation Rate: ,0.2, Capital Accumulation: ,-1.474441015703766
Securitisation Rate: ,0.21, Capital Accumulation: ,-1.4340592061748598
Securitisation Rate: ,0.22, Capital Accumulation: ,-1.3957783589622021
Securitisation Rate: ,0.23, Capital Accumulation: ,-1.359610047353189
Securitisation Rate: ,0.24, Capital Accumulation: ,-1.325565408566736
Securitisation Rate: ,0.25, Capital Accumulation: ,-1.2936551406945318
Securitisation Rate: ,0.26, Capital Accumulation: ,-1.2638894997297383
Securitisation Rate: ,0.27, Capital Accumulation: ,-1.2362782966858
Securitisation Rate: ,0.28, Capital Accumulation: ,-1.2108308948039115
Securitisation Rate: ,0.29, Capital Accumulation: ,-1.1875562068520473
Securitisation Rate: ,0.3, Capital Accumulation: ,-1.1664626925140267
Securitisation Rate: ,0.31, Capital Accumulation: ,-1.1475583558711557
Securitisation Rate: ,0.32, Capital Accumulation: ,-1.1308507429763157
Securitisation Rate: ,0.33, Capital Accumulation: ,-1.1163469395202608
Securitisation Rate: ,0.34, Capital Accumulation: ,-1.1040535685934216
Securitisation Rate: ,0.35000000000000003, Capital Accumulation: ,-1.0939767885398322
Securitisation Rate: ,0.36, Capital Accumulation: ,-1.086122290908242
Securitisation Rate: ,0.37, Capital Accumulation: ,-1.0804952984971798
Securitisation Rate: ,0.38, Capital Accumulation: ,-1.0771005634967397
