Tranche OptimalSecuritisationJnrTranche
Securitisation Rate: ,0.0, Capital Accumulation: ,-18.886313559865744
Securitisation Rate: ,0.01, Capital Accumulation: ,-18.809556306860873
Securitisation Rate: ,0.02, Capital Accumulation: ,-18.735732759316246
Securitisation Rate: ,0.03, Capital Accumulation: ,-18.664879839018532
Securitisation Rate: ,0.04, Capital Accumulation: ,-18.59703349317701
Securitisation Rate: ,0.05, Capital Accumulation: ,-18.532228680842614
Securitisation Rate: ,0.06, Capital Accumulation: ,-18.47049935963278
Securitisation Rate: ,0.07, Capital Accumulation: ,-18.411878472764624
Securitisation Rate: ,0.08, Capital Accumulation: ,-18.356397936402306
Securitisation Rate: ,0.09, Capital Accumulation: ,-18.30408862732184
Securitisation Rate: ,0.1, Capital Accumulation: ,-18.254980370897908
Securitisation Rate: ,0.11, Capital Accumulation: ,-18.209101929417695
Securitisation Rate: ,0.12, Capital Accumulation: ,-18.16648099072346
Securitisation Rate: ,0.13, Capital Accumulation: ,-18.127144157190887
Securitisation Rate: ,0.14, Capital Accumulation: ,-18.091116935044226
Securitisation Rate: ,0.15, Capital Accumulation: ,-18.058423724014066
Securitisation Rate: ,0.16, Capital Accumulation: ,-18.029087807340165
Securitisation Rate: ,0.17, Capital Accumulation: ,-18.003131342123453
Securitisation Rate: ,0.18, Capital Accumulation: ,-17.980575350030694
Securitisation Rate: ,0.19, Capital Accumulation: ,-17.961439708355297
Securitisation Rate: ,0.2, Capital Accumulation: ,-17.94574314143673
Securitisation Rate: ,0.21, Capital Accumulation: ,-17.933503212443526
Securitisation Rate: ,0.22, Capital Accumulation: ,-17.924736315521045
Securitisation Rate: ,0.23, Capital Accumulation: ,-17.919457668308098
Securitisation Rate: ,0.24, Capital Accumulation: ,-17.917681304825486
Securitisation Rate: ,0.25, Capital Accumulation: ,-17.919420068738578
Securitisation Rate: ,0.26, Capital Accumulation: ,-17.924685606997105
Securitisation Rate: ,0.27, Capital Accumulation: ,-17.933488363854703
Securitisation Rate: ,0.28, Capital Accumulation: ,-17.945837575270904
Securitisation Rate: ,0.29, Capital Accumulation: ,-17.96174126369739
Securitisation Rate: ,0.3, Capital Accumulation: ,-17.981206233251783
