Tranche OptimalSecuritisationMezTranche
Securitisation Rate: ,0.0, Capital Accumulation: ,-12.454930796069448
Securitisation Rate: ,0.01, Capital Accumulation: ,-12.351410527670716
Securitisation Rate: ,0.02, Capital Accumulation: ,-12.250069376138141
Securitisation Rate: ,0.03, Capital Accumulation: ,-12.150935353305613
Securitisation Rate: ,0.04, Capital Accumulation: ,-12.054036052995723
Securitisation Rate: ,0.05, Capital Accumulation: ,-11.959398644572438
Securitisation Rate: ,0.06, Capital Accumulation: ,-11.86704986657285
Securitisation Rate: ,0.07, Capital Accumulation: ,-11.777016020420568
Securitisation Rate: ,0.08, Capital Accumulation: ,-11.689322964221027
Securitisation Rate: ,0.09, Capital Accumulation: ,-11.603996106640796
Securitisation Rate: ,0.1, Capital Accumulation: ,-11.521060400871761
Securitisation Rate: ,0.11, Capital Accumulation: ,-11.440540338682046
Securitisation Rate: ,0.12, Capital Accumulation: ,-11.362459944553674
Securitisation Rate: ,0.13, Capital Accumulation: ,-11.28684276991002
Securitisation Rate: ,0.14, Capital Accumulation: ,-11.213711887432563
Securitisation Rate: ,0.15, Capital Accumulation: ,-11.143089885469927
Securitisation Rate: ,0.16, Capital Accumulation: ,-11.074998862538376
Securitisation Rate: ,0.17, Capital Accumulation: ,-11.009460421916852
Securitisation Rate: ,0.18, Capital Accumulation: ,-10.94649566633676
Securitisation Rate: ,0.19, Capital Accumulation: ,-10.886125192767855
Securitisation Rate: ,0.2, Capital Accumulation: ,-10.828369087301368
Securitisation Rate: ,0.21, Capital Accumulation: ,-10.773246920131601
Securitisation Rate: ,0.22, Capital Accumulation: ,-10.720777740637223
Securitisation Rate: ,0.23, Capital Accumulation: ,-10.67098007256271
Securitisation Rate: ,0.24, Capital Accumulation: ,-10.623871909302444
Securitisation Rate: ,0.25, Capital Accumulation: ,-10.579470709286602
Securitisation Rate: ,0.26, Capital Accumulation: ,-10.537793391471567
Securitisation Rate: ,0.27, Capital Accumulation: ,-10.49885633093523
Securitisation Rate: ,0.28, Capital Accumulation: ,-10.462675354577973
Securitisation Rate: ,0.29, Capital Accumulation: ,-10.429265736930745
Securitisation Rate: ,0.3, Capital Accumulation: ,-10.398642196071126
Securitisation Rate: ,0.31, Capital Accumulation: ,-10.370818889647932
Securitisation Rate: ,0.32, Capital Accumulation: ,-10.345809411016527
Securitisation Rate: ,0.33, Capital Accumulation: ,-10.323626785483818
Securitisation Rate: ,0.34, Capital Accumulation: ,-10.304283466665801
Securitisation Rate: ,0.35000000000000003, Capital Accumulation: ,-10.287791332957074
Securitisation Rate: ,0.36, Capital Accumulation: ,-10.27416168411461
Securitisation Rate: ,0.37, Capital Accumulation: ,-10.263405237954757
Securitisation Rate: ,0.38, Capital Accumulation: ,-10.255532127166715
Securitisation Rate: ,0.39, Capital Accumulation: ,-10.250551896240644
Securitisation Rate: ,0.4, Capital Accumulation: ,-10.248473498513821
Securitisation Rate: ,0.41000000000000003, Capital Accumulation: ,-10.249305293333013
Securitisation Rate: ,0.42, Capital Accumulation: ,-10.25305504333673
Securitisation Rate: ,0.43, Capital Accumulation: ,-10.259729911855098
Securitisation Rate: ,0.44, Capital Accumulation: ,-10.269336460430253
Securitisation Rate: ,0.45, Capital Accumulation: ,-10.281880646457278
Securitisation Rate: ,0.46, Capital Accumulation: ,-10.297367820945812
Securitisation Rate: ,0.47000000000000003, Capital Accumulation: ,-10.315802726403902
Securitisation Rate: ,0.48, Capital Accumulation: ,-10.33718949484418
Securitisation Rate: ,0.49, Capital Accumulation: ,-10.361531645912885
Securitisation Rate: ,0.5, Capital Accumulation: ,-10.388832085142747
Securitisation Rate: ,0.51, Capital Accumulation: ,-10.41909310233018
Securitisation Rate: ,0.52, Capital Accumulation: ,-10.45231637003716
Securitisation Rate: ,0.53, Capital Accumulation: ,-10.48850294221809
Securitisation Rate: ,0.54, Capital Accumulation: ,-10.527653252973195
Securitisation Rate: ,0.55, Capital Accumulation: ,-10.569767115427268
Securitisation Rate: ,0.56, Capital Accumulation: ,-10.614843720736268
Securitisation Rate: ,0.5700000000000001, Capital Accumulation: ,-10.66288163722034
Securitisation Rate: ,0.58, Capital Accumulation: ,-10.713878809624376
Securitisation Rate: ,0.59, Capital Accumulation: ,-10.767832558507408
Securitisation Rate: ,0.6, Capital Accumulation: ,-10.824739579759763
Securitisation Rate: ,0.61, Capital Accumulation: ,-10.88459594424872
Securitisation Rate: ,0.62, Capital Accumulation: ,-10.947397097594374
Securitisation Rate: ,0.63, Capital Accumulation: ,-11.013137860073467
Securitisation Rate: ,0.64, Capital Accumulation: ,-11.081812426653839
Securitisation Rate: ,0.65, Capital Accumulation: ,-11.153414367158733
Securitisation Rate: ,0.66, Capital Accumulation: ,-11.227936626560783
Securitisation Rate: ,0.67, Capital Accumulation: ,-11.305371525406958
Securitisation Rate: ,0.68, Capital Accumulation: ,-11.385710760373613
Securitisation Rate: ,0.6900000000000001, Capital Accumulation: ,-11.468945404952652
Securitisation Rate: ,0.7000000000000001, Capital Accumulation: ,-11.55506591026819
Securitisation Rate: ,0.71, Capital Accumulation: ,-11.644062106024858
Securitisation Rate: ,0.72, Capital Accumulation: ,-11.735923201586392
Securitisation Rate: ,0.73, Capital Accumulation: ,-11.830637787186003
Securitisation Rate: ,0.74, Capital Accumulation: ,-11.928193835267821
Securitisation Rate: ,0.75, Capital Accumulation: ,-12.028578701959534
Securitisation Rate: ,0.76, Capital Accumulation: ,-12.13177912867625
Securitisation Rate: ,0.77, Capital Accumulation: ,-12.237781243855698
Securitisation Rate: ,0.78, Capital Accumulation: ,-12.346570564824553
Securitisation Rate: ,0.79, Capital Accumulation: ,-12.458131999796034
Securitisation Rate: ,0.8, Capital Accumulation: ,-12.57244984999793
Securitisation Rate: ,0.81, Capital Accumulation: ,-12.689507811932433
Securitisation Rate: ,0.8200000000000001, Capital Accumulation: ,-12.809288979766158
Securitisation Rate: ,0.8300000000000001, Capital Accumulation: ,-12.931775847850503
Securitisation Rate: ,0.84, Capital Accumulation: ,-13.056950313373118
Securitisation Rate: ,0.85, Capital Accumulation: ,-13.184793679138965
Securitisation Rate: ,0.86, Capital Accumulation: ,-13.315286656481419
Securitisation Rate: ,0.87, Capital Accumulation: ,-13.4484093683033
Securitisation Rate: ,0.88, Capital Accumulation: ,-13.584141352246842
Securitisation Rate: ,0.89, Capital Accumulation: ,-13.722461563993186
Securitisation Rate: ,0.9, Capital Accumulation: ,-13.863348380689846
Securitisation Rate: ,0.91, Capital Accumulation: ,-14.006779604507734
Securitisation Rate: ,0.92, Capital Accumulation: ,-14.152732466324288
Securitisation Rate: ,0.93, Capital Accumulation: ,-14.301183629536425
Securitisation Rate: ,0.9400000000000001, Capital Accumulation: ,-14.452109193998485
Securitisation Rate: ,0.9500000000000001, Capital Accumulation: ,-14.605484700087807
Securitisation Rate: ,0.96, Capital Accumulation: ,-14.761285132896736
Securitisation Rate: ,0.97, Capital Accumulation: ,-14.919484926549014
Securitisation Rate: ,0.98, Capital Accumulation: ,-15.080057968642791
Securitisation Rate: ,0.99, Capital Accumulation: ,-15.242977604816545
Securitisation Rate: ,1.0, Capital Accumulation: ,-15.40821664344033

