Tranche OptimalSecuritisationSnrTranche
Securitisation Rate: ,0.0, Capital Accumulation: ,4.315750466198712
Securitisation Rate: ,0.01, Capital Accumulation: ,4.402711215062694
Securitisation Rate: ,0.02, Capital Accumulation: ,4.488377370035811
Securitisation Rate: ,0.03, Capital Accumulation: ,4.572739646705645
Securitisation Rate: ,0.04, Capital Accumulation: ,4.655788846440736
Securitisation Rate: ,0.05, Capital Accumulation: ,4.737515857259624
Securitisation Rate: ,0.06, Capital Accumulation: ,4.817911654692353
Securitisation Rate: ,0.07, Capital Accumulation: ,4.896967302638184
Securitisation Rate: ,0.08, Capital Accumulation: ,4.974673954215368
Securitisation Rate: ,0.09, Capital Accumulation: ,5.0510228526056276
Securitisation Rate: ,0.1, Capital Accumulation: ,5.126005331892931
Securitisation Rate: ,0.11, Capital Accumulation: ,5.199612817894592
Securitisation Rate: ,0.12, Capital Accumulation: ,5.271836828987538
Securitisation Rate: ,0.13, Capital Accumulation: ,5.342668976926759
Securitisation Rate: ,0.14, Capital Accumulation: ,5.412100967658621
Securitisation Rate: ,0.15, Capital Accumulation: ,5.480124602126533
Securitisation Rate: ,0.16, Capital Accumulation: ,5.546731777070463
Securitisation Rate: ,0.17, Capital Accumulation: ,5.611914485819674
Securitisation Rate: ,0.18, Capital Accumulation: ,5.6756648190786665
Securitisation Rate: ,0.19, Capital Accumulation: ,5.737974965705928
Securitisation Rate: ,0.2, Capital Accumulation: ,5.798837213486677
Securitisation Rate: ,0.21, Capital Accumulation: ,5.858243949897433
Securitisation Rate: ,0.22, Capital Accumulation: ,5.916187662864448
Securitisation Rate: ,0.23, Capital Accumulation: ,5.972660941514527
Securitisation Rate: ,0.24, Capital Accumulation: ,6.027656476918692
Securitisation Rate: ,0.25, Capital Accumulation: ,6.081167062828617
Securitisation Rate: ,0.26, Capital Accumulation: ,6.133185596406105
Securitisation Rate: ,0.27, Capital Accumulation: ,6.183705078944313
Securitisation Rate: ,0.28, Capital Accumulation: ,6.2327186165824555
Securitisation Rate: ,0.29, Capital Accumulation: ,6.28021942101189
Securitisation Rate: ,0.3, Capital Accumulation: ,6.326200810175979
Securitisation Rate: ,0.31, Capital Accumulation: ,6.370656208961035
Securitisation Rate: ,0.32, Capital Accumulation: ,6.413579149879975
Securitisation Rate: ,0.33, Capital Accumulation: ,6.454963273748521
Securitisation Rate: ,0.34, Capital Accumulation: ,6.494802330352814
Securitisation Rate: ,0.35000000000000003, Capital Accumulation: ,6.533090179110009
Securitisation Rate: ,0.36, Capital Accumulation: ,6.56982078971989
Securitisation Rate: ,0.37, Capital Accumulation: ,6.604988242809218
Securitisation Rate: ,0.38, Capital Accumulation: ,6.638586730567565
Securitisation Rate: ,0.39, Capital Accumulation: ,6.670610557375105
Securitisation Rate: ,0.4, Capital Accumulation: ,6.701054140422214
Securitisation Rate: ,0.41000000000000003, Capital Accumulation: ,6.729912010320249
Securitisation Rate: ,0.42, Capital Accumulation: ,6.7571788117051375
Securitisation Rate: ,0.43, Capital Accumulation: ,6.7828493038313615
Securitisation Rate: ,0.44, Capital Accumulation: ,6.806918361157636
Securitisation Rate: ,0.45, Capital Accumulation: ,6.829380973925397
Securitisation Rate: ,0.46, Capital Accumulation: ,6.850232248726134
Securitisation Rate: ,0.47000000000000003, Capital Accumulation: ,6.869467409063319
Securitisation Rate: ,0.48, Capital Accumulation: ,6.887081795902229
Securitisation Rate: ,0.49, Capital Accumulation: ,6.90307086821375
Securitisation Rate: ,0.5, Capital Accumulation: ,6.917430203507977
Securitisation Rate: ,0.51, Capital Accumulation: ,6.930155498359167
Securitisation Rate: ,0.52, Capital Accumulation: ,6.941242568922033
Securitisation Rate: ,0.53, Capital Accumulation: ,6.950687351438742
Securitisation Rate: ,0.54, Capital Accumulation: ,6.958485902736805
Securitisation Rate: ,0.55, Capital Accumulation: ,6.964634400718698
Securitisation Rate: ,0.56, Capital Accumulation: ,6.9691291448411095
Securitisation Rate: ,0.5700000000000001, Capital Accumulation: ,6.971966556585968
Securitisation Rate: ,0.58, Capital Accumulation: ,6.9731431799217125
Securitisation Rate: ,0.59, Capital Accumulation: ,6.972655681755682
Securitisation Rate: ,0.6, Capital Accumulation: ,6.970500852376573
Securitisation Rate: ,0.61, Capital Accumulation: ,6.966675605888306
Securitisation Rate: ,0.62, Capital Accumulation: ,6.961176980633582
Securitisation Rate: ,0.63, Capital Accumulation: ,6.954002139608671
Securitisation Rate: ,0.64, Capital Accumulation: ,6.945148370868261
Securitisation Rate: ,0.65, Capital Accumulation: ,6.934613087920954
Securitisation Rate: ,0.66, Capital Accumulation: ,6.922393830114873
Securitisation Rate: ,0.67, Capital Accumulation: ,6.9084882630139495
Securitisation Rate: ,0.68, Capital Accumulation: ,6.892894178764201
Securitisation Rate: ,0.6900000000000001, Capital Accumulation: ,6.875609496450374
Securitisation Rate: ,0.7000000000000001, Capital Accumulation: ,6.856632262442823
Securitisation Rate: ,0.71, Capital Accumulation: ,6.835960650734186
Securitisation Rate: ,0.72, Capital Accumulation: ,6.813592963267063
Securitisation Rate: ,0.73, Capital Accumulation: ,6.789527630250837
Securitisation Rate: ,0.74, Capital Accumulation: ,6.76376321046872
Securitisation Rate: ,0.75, Capital Accumulation: ,6.736298391575306
Securitisation Rate: ,0.76, Capital Accumulation: ,6.707131990383446
Securitisation Rate: ,0.77, Capital Accumulation: ,6.676262953141577
Securitisation Rate: ,0.78, Capital Accumulation: ,6.643690355800307
Securitisation Rate: ,0.79, Capital Accumulation: ,6.609413404269669
